source;destination;local_departure_time;local_arrival_time
GRU;LHR;2016-04-01 23:45:00;2016-04-02 15:10:00
CWB;VCP;2016-04-29 11:30:00;2016-04-29 12:30:00
BOM;COK;2016-04-10 09:15:00;2016-04-10 11:30:00
MDZ;EZE;2016-04-22 16:30:00;2016-04-22 18:02:00
GIG;REC;2016-08-14 22:10:00;2016-08-15 00:58:00
SMI;AMS;2016-06-03 10:40:00;2016-06-03 13:30:00
CNX;KKC;2016-07-12 06:00:00;2016-07-12 07:10:00
LPA;LGW;2017-04-29 20:10:00;2017-04-30 00:15:00
JNB;CPT;2017-05-09 08:25:00;2017-05-09 10:35:00
SHA;CKG;2016-10-10 17:15:00;2016-10-10 20:10:00
KBV;DMK;2016-09-29 13:10:00;2016-09-29 14:35:00
MNL;CEB;2016-05-11 05:40:00;2016-05-11 07:05:00
YYC;YQR;2017-01-13 08:25:00;2017-01-13 11:00:00
CDG;HAM;2016-08-19 12:45:00;2016-08-19 14:15:00
MEX;CUL;2016-06-03 08:15:00;2016-06-03 09:27:00
BCD;MNL;2016-11-09 06:00:00;2016-11-09 07:10:00
PMI;FKB;2017-05-31 20:35:00;2017-05-31 22:40:00
KMG;CGO;2016-09-30 09:20:00;2016-09-30 12:05:00
BSB;CNF;2016-06-09 17:10:00;2016-06-09 18:25:00
HAN;SGN;2016-07-16 06:20:00;2016-07-16 08:25:00
BZE;CUK;2016-10-31 15:40:00;2016-10-31 15:50:00
MNL;CEB;2016-05-11 04:20:00;2016-05-11 05:35:00
AMD;BOM;2016-11-04 04:30:00;2016-11-04 05:45:00
LIM;AQP;2016-11-29 15:00:00;2016-11-29 16:25:00
CGH;REC;2016-10-31 14:40:00;2016-10-31 16:45:00
GVA;FCO;2016-10-24 19:00:00;2016-10-24 20:30:00
VVI;LPB;2017-01-26 07:00:00;2017-01-26 08:00:00
IST;MAD;2016-11-09 19:20:00;2016-11-09 22:55:00
NUE;TXL;2017-01-29 19:40:00;2017-01-29 20:50:00
BLR;DOH;2017-02-12 03:35:00;2017-02-12 05:30:00
LIM;AQP;2016-11-29 12:45:00;2016-11-29 14:10:00
GIG;REC;2016-05-10 19:30:00;2016-05-10 22:30:00
GRU;MGF;2016-05-10 22:30:00;2016-05-10 23:50:00
PMI;ZAZ;2016-06-29 14:40:00;2016-06-29 15:40:00
AUC;BGA;2016-04-16 10:00:00;2016-04-16 11:05:00
ESB;AYT;2016-03-23 15:05:00;2016-03-23 16:10:00
